Zona Peso
Zona1 0.49
Zona1 0.7
Zona1 0.63
Zona1 0.45
Zona1 0.54
Zona1 0.77
Zona1 0.36
Zona1 0.56
Zona1 0.73
Zona1 0.51
Zona1 0.53
Zona1 0.59
Zona1 0.75
Zona1 0.54
Zona1 0.56
Zona1 0.56
Zona1 0.82
Zona1 0.82
Zona1 0.7
Zona1 0.64
Zona1 0.67
Zona1 0.75
Zona1 0.51
Zona1 0.72
Zona1 0.47
Zona1 0.54
Zona1 0.69
Zona1 0.46
Zona1 0.59
Zona1 0.51
Zona1 0.57
Zona1 0.32
Zona1 0.42
Zona1 0.53
Zona1 0.69
Zona1 0.58
Zona1 0.6
Zona1 0.67
Zona1 0.51
Zona1 0.63
Zona2 0.58
Zona2 0.44
Zona2 0.64
Zona2 0.79
Zona2 0.75
Zona2 0.7
Zona2 1.06
Zona2 0.76
Zona2 0.85
Zona2 1.04
Zona2 0.51
Zona2 0.54
Zona2 0.96
Zona2 0.58
Zona2 0.7
Zona2 0.86
Zona2 0.83
Zona2 0.96
Zona2 0.92
Zona2 0.86
Zona2 0.58
Zona2 0.82
Zona2 0.75
Zona2 0.5
Zona2 0.91
Zona2 0.82
Zona2 0.71
Zona2 0.67
Zona2 0.52
Zona2 0.73
Zona2 0.77
Zona2 0.58
Zona2 0.87
Zona2 0.54
Zona2 0.38
Zona2 0.86
Zona2 0.64
Zona2 0.68
Zona2 0.57
Zona2 0.46
Zona2 0.89
Zona2 0.6
Zona2 0.95
Zona2 0.82
Zona2 0.65
Zona3 0.58
Zona3 0.65
Zona3 0.56
Zona3 1.22
Zona3 0.83
Zona3 1.03
Zona3 0.55
Zona3 0.84
Zona3 1.04
Zona3 0.73
Zona3 1.01
Zona3 0.58
Zona3 0.53
Zona3 0.88
Zona3 0.72
Zona3 0.93
Zona3 0.4
Zona3 0.94
Zona3 1.32
Zona3 0.8
Zona3 0.81
Zona3 0.84
Zona3 0.43
Zona3 0.89
Zona3 0.48
Zona3 0.71
Zona3 1.05
Zona3 0.65
Zona3 0.9
Zona3 1.0
Zona3 0.86
Zona3 0.53
Zona3 0.73
Zona3 1.19
Zona3 0.39
Zona3 0.74
Zona3 0.69
Zona3 0.82
Zona3 0.95
Zona3 1.12
Zona3 0.75
Zona3 0.96
Zona3 0.9
Zona3 0.89
Zona3 0.69
Zona3 0.6
Zona3 0.58
Zona3 0.65
Zona3 0.86
Zona3 0.95
Zona4 0.98
Zona4 0.76
Zona4 1.35
Zona4 1.28
Zona4 0.81
Zona4 0.69
Zona4 0.93
Zona4 1.22
Zona4 0.98
Zona4 1.04
Zona4 0.85
Zona4 1.01
Zona4 1.29
Zona4 0.84
Zona4 0.94
Zona4 0.96
Zona4 0.97
Zona4 0.55
Zona4 0.43
Zona4 0.65
Zona4 0.94
Zona4 1.04
Zona4 0.77
Zona4 1.24
Zona4 0.86
Zona4 0.91
Zona4 0.85
Zona4 0.93
Zona4 1.08
Zona4 1.07
Zona4 0.68
Zona4 1.28
Zona4 0.63
Zona4 0.92
Zona4 0.83
Zona4 0.64
Zona4 0.88
Zona4 0.71
Zona4 0.92
Zona4 1.0
Zona4 1.27
Zona4 0.98
Zona4 0.75
Zona4 0.8
Zona4 0.93
Zona4 0.92
Zona4 1.26
Zona4 1.25
Zona4 0.81
Zona4 0.76
Zona4 0.26
Zona4 0.76
Zona4 0.66
Zona4 0.81
Zona4 1.0
Zona5 1.05
Zona5 0.99
Zona5 1.06
Zona5 0.96
Zona5 1.06
Zona5 0.2
Zona5 0.92
Zona5 0.97
Zona5 0.9
Zona5 0.93
Zona5 1.21
Zona5 0.82
Zona5 1.66
Zona5 1.21
Zona5 1.0
Zona5 0.94
Zona5 0.97
Zona5 0.73
Zona5 0.97
Zona5 1.08
Zona5 1.17
Zona5 1.17
Zona5 0.92
Zona5 0.58
Zona5 0.8
Zona5 1.48
Zona5 1.27
Zona5 1.11
Zona5 0.77
Zona5 1.0
Zona5 0.62
Zona5 0.83
Zona5 0.93
Zona5 0.89
Zona5 1.29
Zona5 0.57
Zona5 0.74
Zona5 0.59
Zona5 0.63
Zona5 1.04
Zona5 0.52
Zona5 1.23
Zona5 0.93
Zona5 1.02
Zona5 1.1
Zona5 0.87
Zona5 1.31
Zona5 0.94
Zona5 1.18
Zona5 0.94
Zona5 1.09
Zona5 1.08
Zona5 1.07
Zona5 0.71
Zona5 1.13
Zona5 0.9
Zona5 1.19
Zona5 0.35
Zona5 0.56
Zona5 1.11
